n.pgr;Nome Istituto;codice;Centro di costo;codice;Denominazione intervento;Determina;Tipologia di intervento;Manutenzioni;Stato della procedura;RUP;importo stanziato;importo stimato;Anno di riferimento;Data prevista inizio;Data prevista fine;Avviati?;PTLLPP;
050;"SCU_013 - IST. PROF.LE IPIA ""E. LOI""- VIA DALMAZIA";SCU_013;;SCU_013_050;ACCORDO QUADRO SERVIZIO FINALIZZATO ALL’ATTUAZIONE DELLE AZIONI PREVENTIVE PER IL CONTROLLO DELLA PROLIFERAZIONE DI MURIDI NEGLI EDIFICI SCOLASTICI DELLA PROVINCIA DEL SULCIS IGLESIENTE E SERVIZI ACCESSORI;Determina n.112 del 31/12/2025;Accordo/Servizio;VERO;in corso;DG; € 17.928,80 ;;;;;;;
051;"SCU_013 - IST. PROF.LE IPIA ""E. LOI""- VIA DALMAZIA";SCU_013;;SCU_013_051;Servizio di Gestione Conduzione e Manutenzione Ordinaria e ripartiva per ripristino funzionale per gli impianti termici e di condizionamento;Determina n.60 del 27/10/2025;Accordo/Servizio;VERO;in corso;GF; € 145.520,04 ;;;;;;;
052;"SCU_013 - IST. PROF.LE IPIA ""E. LOI""- VIA DALMAZIA";SCU_013;;SCU_013_052;Servizio di manutenzione per gli impianti elevatori;Determina n.47 del 19/09/2025;Accordo/Servizio;VERO;in corso;GF; € 79.856,00 ;;;;;;;
053;"SCU_013 - IST. PROF.LE IPIA ""E. LOI""- VIA DALMAZIA";SCU_013;;SCU_013_053;Servizio di manutenzione estintori;Determina n.52 del 07/10/2025;Accordo/Servizio;VERO;in corso;GF; € 40.000,00 ;;;;;;;
054;SCU_014 - ISTITUTO BECCARIA - VIA UMBRIA;SCU_014;;SCU_014_054;Servizio di Gestione Conduzione e Manutenzione Ordinaria e ripartiva per ripristino funzionale per gli impianti termici e di condizionamento;Determina n.60 del 27/10/2025;Accordo/Servizio;VERO;in corso;GF; € 145.520,04 ;;;;;;;
055;SCU_014 - ISTITUTO BECCARIA - VIA UMBRIA;SCU_014;;SCU_014_055;Servizio di manutenzione per gli impianti elevatori;Determina n.47 del 19/09/2025;Accordo/Servizio;VERO;in corso;GF; € 79.856,00 ;;;;;;;
056;SCU_014 - ISTITUTO BECCARIA - VIA UMBRIA;SCU_014;;SCU_014_056;Servizio di manutenzione estintori;Determina n.52 del 07/10/2025;Accordo/Servizio;VERO;in corso;GF; € 40.000,00 ;;;;;;;
057;"SCU_015 - IPIA ""EMANUELA LOI - VIA BOLZANO 37";SCU_015;;SCU_015_057;ACCORDO QUADRO SERVIZIO FINALIZZATO ALL’ATTUAZIONE DELLE AZIONI PREVENTIVE PER IL CONTROLLO DELLA PROLIFERAZIONE DI MURIDI NEGLI EDIFICI SCOLASTICI DELLA PROVINCIA DEL SULCIS IGLESIENTE E SERVIZI ACCESSORI;Determina n.112 del 31/12/2025;Accordo/Servizio;VERO;in corso;DG; € 17.928,80 ;;;;;;;
058;"SCU_015 - IPIA ""EMANUELA LOI - VIA BOLZANO 37";SCU_015;;SCU_015_058;Servizio di Gestione Conduzione e Manutenzione Ordinaria e ripartiva per ripristino funzionale per gli impianti termici e di condizionamento;Determina n.60 del 27/10/2025;Accordo/Servizio;VERO;in corso;GF; € 145.520,04 ;;;;;;;
059;"SCU_015 - IPIA ""EMANUELA LOI - VIA BOLZANO 37";SCU_015;;SCU_015_059;Servizio di manutenzione estintori;Determina n.52 del 07/10/2025;Accordo/Servizio;VERO;in corso;GF; € 40.000,00 ;;;;;;;
